AppID,Name,Release date,Estimated owners,Peak CCU,Price,Positive,Negative,Genres,Price_USD,Total_Reviews,Pct_Positive,Genre_Utama,Tahun_Rilis,Bulan_Rilis
1004210,Pandamonia 潘德莫尼亚,2019-04-29,0 - 20000,0,0.75,132,8,"Action,Casual,Indie,RPG,Sports",0.75,140,94.29,Action,2019,4
876650,Aground,2020-04-17,100000 - 200000,17,5.09,1733,108,"Adventure,Indie,RPG",5.09,1841,94.13,Adventure,2020,4
1274840,Escape from GULAG,2020-07-21,0 - 20000,0,0.79,57,11,"Action,Casual,Indie,Simulation,Strategy",0.79,68,83.82,Action,2020,7
939920,FaceFun,2018-10-03,0 - 20000,0,4.99,7,14,"Animation & Modeling,Design & Illustration,Utilities,Video Production",4.99,21,33.33,Animation & Modeling,2018,10
3057390,Banana Monkeys,2024-07-05,0 - 0,0,0.0,0,0,"Adventure,Casual,Simulation,Strategy,Free To Play",0.0,0,0.0,Adventure,2024,7
4032790,Mary's Quest,2025-10-08,0 - 0,0,0.0,0,0,"Adventure,Indie,Free To Play",0.0,0,0.0,Adventure,2025,10
3737860,Sparkfront: Online,2025-07-07,0 - 20000,0,2.09,0,0,"Action,Casual,Indie,Strategy",2.09,0,0.0,Action,2025,7
860880,Castle: Jigsaw Puzzles,2018-05-23,0 - 20000,0,0.55,13,4,"Adventure,Casual,Indie,Simulation,Sports,Strategy",0.55,17,76.47,Adventure,2018,5
3386230,Sewers Adventures,2025-02-03,0 - 0,0,0.0,0,0,"Action,Adventure,Indie,Free To Play",0.0,0,0.0,Action,2025,2
2222770,Mimi the Cat - Mimi's Scratcher,2022-12-16,0 - 20000,0,0.89,28,4,"Casual,Indie,Strategy",0.89,32,87.5,Casual,2022,12
286240,Dog Sled Saga,2016-09-22,20000 - 50000,0,1.59,720,67,"Indie,Racing,RPG,Sports",1.59,787,91.49,Indie,2016,9
2988330,Me & My Friend Pippa!,2024-11-01,0 - 20000,0,4.99,5,0,"Adventure,Indie,RPG",4.99,5,100.0,Adventure,2024,11
1139160,Divided Reigns,2021-04-02,0 - 20000,0,2.49,131,14,"Adventure,Indie,RPG,Strategy",2.49,145,90.34,Adventure,2021,4
2124770,Tuin,2022-08-26,0 - 20000,0,2.49,108,27,"Casual,Indie,Simulation",2.49,135,80.0,Casual,2022,8
3642810,"Hug Me, Senpai!",2025-05-15,0 - 20000,1,0.89,0,0,"Casual,Indie,Simulation",0.89,0,0.0,Casual,2025,5
1504580,Maze Party,2021-01-19,0 - 20000,0,2.39,3,0,"Action,Adventure,Casual,Indie,Racing,RPG,Simulation,Early Access",2.39,3,100.0,Action,2021,1
4331030,Megabonk Apocalypse,2026-02-13,0 - 0,0,3.59,0,0,"Action,Adventure,Casual,Indie,Racing,RPG,Simulation,Sports,Early Access",3.59,0,0.0,Action,2026,2
2913890,Casino Simulator,2024-11-08,0 - 20000,0,5.99,4,10,"Simulation,Strategy,Early Access",5.99,14,28.57,Simulation,2024,11
4202400,FastCato,2026-02-13,0 - 0,0,3.24,0,0,"Adventure,Casual,Indie,Racing",3.24,0,0.0,Adventure,2026,2
1700690,Grandma's Footsteps,2022-02-22,0 - 20000,0,4.99,16,3,Casual,4.99,19,84.21,Casual,2022,2
1676520,Hidden Expedition: A King's Line Collector's Edition,2021-06-25,20000 - 50000,0,4.99,2,1,"Adventure,Casual",4.99,3,66.67,Adventure,2021,6
2536420,Midnight Acres,2023-10-25,0 - 20000,0,0.99,19,13,"Action,Indie,Simulation",0.99,32,59.38,Action,2023,10
3107960,Difficult times,2024-11-10,0 - 20000,0,0.79,14,5,"Casual,Simulation,Sports,Strategy",0.79,19,73.68,Casual,2024,11
1776970,月に寄りそう乙女の作法,2022-06-17,50000 - 100000,58,19.19,3656,92,"Adventure,Casual",19.19,3748,97.55,Adventure,2022,6
2505180,Ursine Science,2023-09-22,0 - 20000,0,1.49,0,0,"Adventure,Indie",1.49,0,0.0,Adventure,2023,9
4036650,Hentai Love,2025-10-14,0 - 0,0,2.09,0,0,"Casual,Indie",2.09,0,0.0,Casual,2025,10
2241000,Barely Working,2026-02-19,0 - 20000,0,14.99,0,0,"Action,Casual,Indie,Simulation,Strategy,Early Access",14.99,0,0.0,Action,2026,2
245050,SpellForce 2 - Demons of the Past,2014-01-16,200000 - 500000,5,4.99,168,171,"RPG,Strategy",4.99,339,49.56,RPG,2014,1
3203160,Talk to Me Human,2025-10-27,0 - 20000,0,9.99,0,0,"Casual,Indie",9.99,0,0.0,Casual,2025,10
917140,Amberial Dreams,2023-12-05,20000 - 50000,0,2.69,69,5,"Action,Indie",2.69,74,93.24,Action,2023,12
3373960,holo8,2025-02-12,0 - 20000,1,2.79,115,13,Indie,2.79,128,89.84,Indie,2025,2
3166250,Backrooms The Levels,2025-02-24,0 - 20000,0,14.99,4,3,"Adventure,Indie,Simulation,Early Access",14.99,7,57.14,Adventure,2025,2
669040,Whispered Secrets: Into the Beyond Collector's Edition,2017-07-17,0 - 20000,0,0.99,5,0,"Adventure,Casual",0.99,5,100.0,Adventure,2017,7
660730,Ventura Inc,2018-06-01,0 - 20000,0,18.99,9,4,"Indie,Massively Multiplayer,Simulation,Strategy,Early Access",18.99,13,69.23,Indie,2018,6
822750,Try to seize me,2018-04-17,0 - 20000,0,1.99,4,1,"Action,Casual,Indie",1.99,5,80.0,Action,2018,4
1635810,Planes Journey,2021-06-01,0 - 20000,0,7.99,0,0,Indie,7.99,0,0.0,Indie,2021,6
