AppID,Name,Peak CCU,Positive,Negative,Price,Release date,Genres,Categories,Developers,Publishers,Required age
アパシー学校であった怖い話 Visual Novel Version,"Aug 7, 2023",0,4,0,0,0 - 20000,Adventure,"Single-player,Family Sharing","七転び八転がり,SHANNON",七転び八転がり,8.99
Merge,"Aug 1, 2024",0,0,0,0,0 - 20000,"Casual,Indie","Single-player,Steam Achievements,Family Sharing",Rome Renner,Rome Renner,1.99
Powwow Bound: A Menominee Homecoming,"Nov 18, 2025",0,0,0,0,0 - 0,"Adventure,Casual,Free To Play","Single-player,Steam Achievements,Full controller support","Nebraska Public Media,PBS Wisconsin",Nebraska Public Media,0.0
VR Hiroshima 1945,"Jan 15, 2021",0,17,14,68,0 - 20000,Adventure,"Single-player,Tracked Controller Support,VR Only,Family Sharing",William of Oxford,William of Oxford,1.59
Tom Clancy's Ghost Recon®,"Jul 15, 2008",17,1400,115,0,200000 - 500000,Action,"Single-player,Multi-player,Co-op,Family Sharing",Red Storm Entertainment,Ubisoft,2.99
Coffee with Prescilla,"Aug 28, 2020",0,0,0,0,0 - 20000,RPG,"Single-player,Family Sharing",cgvaqs,cgvaqs,4.99
Billionaire in the Oil Boom,"Jun 25, 2025",0,0,0,0,0 - 0,"Simulation,Strategy","Single-player,Family Sharing",Pizza OK Games,Pizza OK Games,5.99
OneHanded,"Jul 29, 2022",0,0,0,0,0 - 0,"Action,Free To Play,Indie",Single-player,LarcenistGames,LarcenistGames,0.0
18 Year Pure Sweet Loli,"Jan 11, 2025",0,6,1,20,0 - 20000,Casual,"Single-player,Family Sharing",CrystalSnow,CrystalSnow,0.79
研究生战斗,"May 29, 2025",0,0,0,0,0 - 20000,"Casual,Indie,Strategy","Single-player,Family Sharing",lhll,lhll,5.99
Stray Gods: The Roleplaying Musical,"Aug 9, 2023",0,3080,258,0,200000 - 500000,Adventure,"Single-player,Full controller support,Family Sharing",Summerfall Studios,Humble Games,17.99
Edge Guardian,"Sep 21, 2016",0,9,0,0,0 - 20000,"Action,Indie,Early Access","Single-player,Steam Achievements,Tracked Controller Support,VR Only,Steam Leaderboards,Family Sharing",Hypothermic Games,Hypothermic Games,6.99
I doesn't exist - a modern text adventure,"Oct 5, 2023",0,52,22,65,0 - 20000,"Adventure,Indie","Single-player,Family Sharing",LUAL Games KIG,DreadXP,4.54
Snake 3D Adventures,"Aug 1, 2017",0,23,11,0,0 - 20000,"Action,Adventure,Casual,Indie","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Leaderboards,Family Sharing","Ino-Co Plus,Variags",AkPublish,1.99
Let Chat Guess,"Dec 15, 2022",0,3,0,40,0 - 20000,"Indie,Simulation,Early Access","Single-player,Steam Achievements,Steam Leaderboards,Family Sharing",Kilz Knight,Kilz Knight,1.79
Loser Named Hana,"Oct 31, 2025",0,0,0,0,0 - 0,"Casual,Indie,Free To Play","Single-player,Custom Volume Controls,Keyboard Only Option,Mouse Only Option,Save Anytime,Stereo Sound",Repurpose Studios,Repurpose Studios,0.0
Star Clash,"Mar 2, 2018",0,3,2,0,0 - 20000,"Action,Casual,Indie","Single-player,Steam Achievements,Full controller support,Steam Cloud,Family Sharing",ZGame Studio,ZGame Studio,0.49
PROJECT TACHYON,"Feb 13, 2025",0,109,18,20,0 - 20000,"Action,Adventure","Single-player,Partial Controller Support,Steam Cloud,Family Sharing",STUDIO N9,HIKE Inc.,14.39
Kitchen Trials: Rush,"Aug 15, 2024",0,0,0,0,0 - 0,"Action,Indie,Free To Play","Single-player,Steam Achievements,Captions available,Steam Leaderboards",Karma Array,Karma Array,0.0
Feral Flowers,"Nov 24, 2021",0,6,0,0,0 - 20000,"Action,Indie","Single-player,Steam Achievements,Full controller support,Family Sharing",STARRIVER,STARRIVER,1.25
鲤氏奇人异闻录,"Oct 24, 2024",0,0,0,0,0 - 0,"Adventure,Indie,Free To Play",Single-player,顽童计划,顽童计划,0.0
9-nine-:Episode 1,"Jan 31, 2019",0,1526,77,60,50000 - 100000,"Casual,Simulation","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Family Sharing",PALETTE,Sekai Project,7.99
Layer Hunt,"Sep 14, 2024",0,0,0,0,0 - 20000,"Action,Adventure,Indie,RPG,Free To Play",Single-player,"Edvin Andersson,Anton Andersson","Edvin Andersson,Anton Andersson",0.0
U4iA - Season 1,"Sep 26, 2025",0,0,0,0,0 - 0,"Indie,RPG","Single-player,Steam Achievements,Steam Cloud,Family Sharing",DriftyGames,DriftyGames,11.99
Synaxarion Christian Stories: Holy Martyr Neophytos,"Aug 24, 2024",0,2,1,0,0 - 20000,"Casual,Indie","Single-player,Family Sharing",Ignatios Productions,Ignatios Productions,2.99
